Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0087246,0.0014336,0.00059799,0,0,0,0.03,3.0956E-08,-6.4103E-13,-1.6189E-24,7.893E-08,-1.6924E-25,4.8852E-08,0,0,0,0,0,0,package://real_car/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://real_car/meshes/base_link.STL,,car_body-1;motor-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lb,7.1629E-08,-2.8345E-08,0.0025,0,0,0,0.00050655,7.2925E-09,1.9868E-14,2.959E-14,7.2958E-09,-2.8717E-14,1.2478E-08,0,0,0,0,0,0,package://real_car/meshes/lb.STL,0.38431,0.38431,0.38431,1,0,0,0,0,0,0,package://real_car/meshes/lb.STL,,wheel_hard_base-2,Origin_lb,Axis_lb,lb,continuous,-0.0173100917486529,-0.0115979942316037,0.00254,1.5707963267949,0.0536675235862468,0,base_link,0,0,1,,,,,,,,,,,,
ls1,-0.0052845,0.0050917,0.0025,0,0,0,2.6548E-05,2.7864E-10,3.5037E-11,-1.1741E-28,6.1832E-11,-4.232E-28,2.2985E-10,0,0,0,0,0,0,package://real_car/meshes/ls1.STL,0.38431,0.38431,0.38431,1,0,0,0,0,0,0,package://real_car/meshes/ls1.STL,,wheel_soft_part-6,Origin_ls1,,ls1,fixed,0,0,0,0,0,-1.5708,lb,0,0,0,,,,,,,,,,,,
l11,-0.0062116,0.0020435,0.0025,0,0,0,1.5932E-05,3.651E-11,-7.6675E-13,-2.4388E-27,3.8151E-11,6.4621E-28,8.2764E-12,0,0,0,0,0,0,package://real_car/meshes/l11.STL,0.38431,0.38431,0.38431,1,0,0,0,0,0,0,package://real_car/meshes/l11.STL,,wheel_hard_1-7,Origin_l11,,l11,fixed,0,0,0,0,0,0,ls1,0,0,0,,,,,,,,,,,,
l12,-0.00611092708778156,0.00419933857679305,0.0025,0,0,0,1.15299479166699E-05,2.64618315913078E-11,-4.15298069981526E-13,-3.62020903754829E-28,2.58785618371161E-11,2.13548451380614E-27,4.29894377563258E-12,0,0,0,0,0,0,package://real_car/meshes/l12.STL,0.384313725490196,0.384313725490196,0.384313725490196,1,0,0,0,0,0,0,package://real_car/meshes/l12.STL,,wheel_hard_2-6,Origin_l12,,l12,fixed,0,0,0,0,0,0,ls1,0,0,0,,,,,,,,,,,,
l13,-0.00614266566829437,0.00632986330314675,0.0025,0,0,0,7.12760416665123E-06,1.63479264992618E-11,-1.02250148486113E-13,1.8365607935026E-28,1.52849552371794E-11,1.09221090730897E-29,1.93453104206101E-12,0,0,0,0,0,0,package://real_car/meshes/l13.STL,0.384313725490196,0.384313725490196,0.384313725490196,1,0,0,0,0,0,0,package://real_car/meshes/l13.STL,,wheel_hard_3-2,Origin_l13,,l13,fixed,0,0,0,0,0,0,ls1,0,0,0,,,,,,,,,,,,
l14,-0.00624183898977224,0.00815314698806191,0.0025,0,0,0,2.89773207859235E-06,6.37231032450358E-12,2.90227817683515E-14,-3.90202968431673E-28,6.08740596689973E-12,7.28923928002558E-28,3.8583263060184E-13,0,0,0,0,0,0,package://real_car/meshes/l14.STL,0.384313725490196,0.384313725490196,0.384313725490196,1,0,0,0,0,0,0,package://real_car/meshes/l14.STL,,wheel_hard_4-7,Origin_l14,,l14,fixed,0,0,0,0,0,0,ls1,0,0,0,,,,,,,,,,,,
ls2,-0.00528451978484172,0.00509171594747074,0.00250000000000001,0,0,0,2.65475633543081E-05,2.78635017566843E-10,3.50367571275281E-11,-2.75339765502131E-26,6.18321023928155E-11,6.82649406545328E-27,2.29852272650042E-10,0,0,0,0,0,0,package://real_car/meshes/ls2.STL,0.384313725490196,0.384313725490196,0.384313725490196,1,0,0,0,0,0,0,package://real_car/meshes/ls2.STL,,wheel_soft_part-9,Origin_ls2,,ls2,fixed,0,0,0,0,0,-3.1416,lb,0,0,0,,,,,,,,,,,,
l21,-0.00621161774695974,0.00204351624207291,0.0025,0,0,0,1.5932291666647E-05,3.65100666164903E-11,-7.66754062161231E-13,-1.65784113067065E-26,3.81508764807896E-11,2.33286671132931E-27,8.27639448625057E-12,0,0,0,0,0,0,package://real_car/meshes/l21.STL,0.384313725490196,0.384313725490196,0.384313725490196,1,0,0,0,0,0,0,package://real_car/meshes/l21.STL,,wheel_hard_1-8,Origin_l21,,l21,fixed,0,0,0,0,0,0,ls2,0,0,0,,,,,,,,,,,,
l22,-0.00611092708778246,0.00419933857679377,0.0025,0,0,0,1.15299479166699E-05,2.64618315913078E-11,-4.15298069981573E-13,-1.18647318313283E-26,2.58785618371162E-11,-3.43813056262297E-28,4.29894377563262E-12,0,0,0,0,0,0,package://real_car/meshes/l22.STL,0.384313725490196,0.384313725490196,0.384313725490196,1,0,0,0,0,0,0,package://real_car/meshes/l22.STL,,wheel_hard_2-3,Origin_l22,,l22,fixed,0,0,0,0,0,0,ls2,0,0,0,,,,,,,,,,,,
l23,-0.00614266566829509,0.00632986330314741,0.00250000000000001,0,0,0,7.12760416665123E-06,1.63479264992618E-11,-1.02250148486211E-13,-7.43213338207884E-27,1.52849552371794E-11,7.5775580184949E-28,1.93453104206102E-12,0,0,0,0,0,0,package://real_car/meshes/l23.STL,0.384313725490196,0.384313725490196,0.384313725490196,1,0,0,0,0,0,0,package://real_car/meshes/l23.STL,,wheel_hard_3-3,Origin_l23,,l23,fixed,0,0,0,0,0,0,ls2,0,0,0,,,,,,,,,,,,
l24,-0.00624183898977278,0.00815314698806262,0.0025,0,0,0,2.89773207859234E-06,6.37231032450353E-12,2.90227817683242E-14,-3.38668444291571E-27,6.0874059668997E-12,-1.13001246817957E-27,3.85832630601811E-13,0,0,0,0,0,0,package://real_car/meshes/l24.STL,0.384313725490196,0.384313725490196,0.384313725490196,1,0,0,0,0,0,0,package://real_car/meshes/l24.STL,,wheel_hard_4-8,Origin_l24,,l24,fixed,0,0,0,0,0,0,ls2,0,0,0,,,,,,,,,,,,
ls3,-0.00528451978484168,0.00509171594747075,0.0025,0,0,0,2.65475633543081E-05,2.78635017566843E-10,3.50367571275266E-11,-2.05928385401897E-26,6.1832102392815E-11,1.06461271110117E-25,2.29852272650041E-10,0,0,0,0,0,0,package://real_car/meshes/ls3.STL,0.384313725490196,0.384313725490196,0.384313725490196,1,0,0,0,0,0,0,package://real_car/meshes/ls3.STL,,wheel_soft_part-8,Origin_ls3,,ls3,fixed,0,0,0,0,0,1.5708,lb,0,0,0,,,,,,,,,,,,
l31,-0.00621161774695991,0.00204351624207161,0.0025,0,0,0,1.5932291666647E-05,3.65100666164903E-11,-7.66754062161233E-13,6.56749977069224E-30,3.81508764807895E-11,-1.35137261788348E-26,8.27639448625055E-12,0,0,0,0,0,0,package://real_car/meshes/l31.STL,0.384313725490196,0.384313725490196,0.384313725490196,1,0,0,0,0,0,0,package://real_car/meshes/l31.STL,,wheel_hard_1-5,Origin_l31,,l31,fixed,0,0,0,0,0,0,ls3,0,0,0,,,,,,,,,,,,
l32,-0.00611092708778263,0.00419933857679248,0.0025,0,0,0,1.15299479166699E-05,2.64618315913077E-11,-4.15298069981578E-13,-5.49045157099988E-28,2.58785618371161E-11,-1.18679960827535E-26,4.29894377563259E-12,0,0,0,0,0,0,package://real_car/meshes/l32.STL,0.384313725490196,0.384313725490196,0.384313725490196,1,0,0,0,0,0,0,package://real_car/meshes/l32.STL,,wheel_hard_2-8,Origin_l32,,l32,fixed,0,0,0,0,0,0,ls3,0,0,0,,,,,,,,,,,,
l33,-0.00614266566829525,0.00632986330314617,0.0025,0,0,0,7.12760416665123E-06,1.63479264992618E-11,-1.02250148486206E-13,-1.86368805982825E-29,1.52849552371794E-11,-7.8382764826607E-27,1.93453104206101E-12,0,0,0,0,0,0,package://real_car/meshes/l33.STL,0.384313725490196,0.384313725490196,0.384313725490196,1,0,0,0,0,0,0,package://real_car/meshes/l33.STL,,wheel_hard_3-4,Origin_l33,,l33,fixed,0,0,0,0,0,0,ls3,0,0,0,,,,,,,,,,,,
l34,-0.00624183898977296,0.00815314698806133,0.00249999999999999,0,0,0,2.89773207859235E-06,6.37231032450354E-12,2.90227817683262E-14,-2.16735456715655E-28,6.08740596689971E-12,-2.5731447653858E-27,3.85832630601813E-13,0,0,0,0,0,0,package://real_car/meshes/l34.STL,0.384313725490196,0.384313725490196,0.384313725490196,1,0,0,0,0,0,0,package://real_car/meshes/l34.STL,,wheel_hard_4-5,Origin_l34,,l34,fixed,0,0,0,0,0,0,ls3,0,0,0,,,,,,,,,,,,
